YEAR	GRANT	INSTITUTE	APPLICATIONS	FUNDED	RATE	FUNDING
2009	F32	NIDA	47	18	38.3	886140
2009	F32	NIDCD	36	13	36.1	666968
2009	F32	NIDCR	10	5	50.0	250413
2009	F32	NIDDK	119	45	37.8	2322511
2009	F32	NIBIB	25	4	16.0	189308
2009	F32	NIEHS	22	6	27.3	300900
2009	F32	NEI	70	25	35.7	1225838
2009	F32	NIGMS	431	140	32.5	6626835
2009	F32	NICHD	138	26	18.8	1311338
2009	F32	NHGRI	14	5	35.7	230074
2009	F32	NHLBI	173	58	33.5	3027790
2009	F32	NIMH	123	32	26.0	1589874
2009	F32	NINR	3	2	66.7	92428
2009	F32	NINDS	173	41	23.7	2055895
2009	F32	NCRR	1	0	0.0	0
2009	F32	Total	2026	537	26.5	26564590
2009	F33	NIA	1	0	0.0	0
2009	F33	NIAID	3	0	0.0	0
2009	F33	NCI	2	2	100.0	107585
2009	F33	NIDCR	2	2	100.0	70235
2009	F33	NIGMS	2	2	100.0	89103
2009	F33	NICHD	2	0	0.0	0
2009	F33	NHLBI	2	1	50.0	58886
2009	F33	Total	14	7	50.0	325809
2009	F37	NLM	2	0	0.0	0
2009	F37	Total	2	0	0.0	0
2010	F30	NIAAA	7	6	85.7	198315
2010	F30	NIA	36	11	30.6	445154
2010	F30	NIDA	15	6	40.0	210782
2010	F30	NIDCD	7	3	42.9	98738
2010	F30	NIDCR	6	6	100.0	253390
2010	F30	NIDDK	42	28	66.7	982383
2010	F30	NIEHS	14	9	64.3	318160
2010	F30	NHLBI	80	24	30.0	799759
2010	F30	NIMH	23	10	43.5	356518
2010	F30	NINDS	100	29	29.0	1066306
2010	F30	Total	330	132	40.0	4729505
2010	F31	NIAAA	68	32	47.1	1079544
2010	F31	NIA	156	32	20.5	1127453
2010	F31	NIAID	57	12	21.1	437757
2010	F31	NIAMS	7	1	14.3	32928
2010	F31	NCCAM	25	8	32.0	313546
2010	F31	NCI	72	28	38.9	956309
2010	F31	NIDA	136	46	33.8	1559248
2010	F31	NIDCD	104	36	34.6	1158209
2010	F31	NIDCR	30	17	56.7	664268
2010	F31	NIDDK	24	12	50.0	401646
2010	F31	NIBIB	3	1	33.3	31802
2010	F31	NIEHS	9	5	55.6	158286
2010	F31	NEI	15	9	60.0	317181
2010	F31	NIGMS	64	19	29.7	663073
2010	F31	NICHD	37	16	43.2	530276
2010	F31	NHGRI	2	1	50.0	32107
2010	F31	NHLBI	30	12	40.0	413201
2010	F31	NIMH	302	77	25.5	2576185
2010	F31	NINR	84	33	39.3	1151966
2010	F31	NINDS	336	83	24.7	2784150
2010	F31	Total	1561	480	30.7	16389135
2010	F32	NIAAA	20	10	50.0	508790
2010	F32	NIA	90	15	16.7	731382
2010	F32	NIAID	259	49	18.9	2397755
2010	F32	NIAMS	59	23	39.0	1158794
2010	F32	NCCAM	8	1	12.5	70810
2010	F32	NCI	276	61	22.1	3068334
2010	F32	NIDA	58	22	37.9	1099467
2010	F32	NIDCD	48	19	39.6	959541
2010	F32	NIDCR	17	5	29.4	263787
2010	F32	NIDDK	174	59	33.9	3045183
2010	F32	NIBIB	30	11	36.7	541606
2010	F32	NIEHS	21	10	47.6	504367
2010	F32	NEI	77	18	23.4	879228
2010	F32	NIGMS	492	157	31.9	7554790
2010	F32	NICHD	118	31	26.3	1567128
2010	F32	NHGRI	9	3	33.3	143334
2010	F32	NHLBI	215	64	29.8	3307899
2010	F32	NIMH	152	41	27.0	2037972
2010	F32	NINR	1	1	100.0	54854
2010	F32	NINDS	184	45	24.5	2254998
2010	F32	NCRR	1	1	100.0	47606
2010	F32	Total	2309	646	28.0	32197625
2010	F33	NIAID	2	0	0.0	0
2010	F33	NIAMS	2	1	50.0	59918
2010	F33	NIDCR	1	0	0.0	0
2010	F33	NEI	1	0	0.0	0
2010	F33	NIGMS	5	1	20.0	29701
2010	F33	NICHD	1	0	0.0	0
2010	F33	NHLBI	1	0	0.0	0
2010	F33	NINDS	1	0	0.0	0
2010	F33	Total	14	2	14.3	89619
2011	F05	NIAAA	1	0	0.0	0
2011	F05	NIA	5	0	0.0	0
2011	F05	NIDA	1	0	0.0	0
2011	F05	NIDCD	3	0	0.0	0
2011	F05	NIMH	5	1	20.0	46346
2011	F05	NINDS	7	1	14.3	57210
2011	F05	Total	22	2	9.1	103556
2011	F30	NIAAA	3	1	33.3	33952
2011	F30	NIA	55	20	36.4	791897
2011	F30	NIDA	6	4	66.7	146114
2011	F30	NIDCD	6	2	33.3	61445
